"Org.Code","Org.Name","Service.Type","RCI","Index_Type"
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","RCI(incl XBD)",106.85,"Episode_MFF_adjusted"
"RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",88.33,"Episode_MFF_adjusted"
"RBA","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RCI(incl XBD)",97.81,"Episode_MFF_adjusted"
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",92.48,"Episode_MFF_adjusted"
"RBK","WALSALL HEALTHCARE NHS TRUST","RCI(incl XBD)",97.31,"Episode_MFF_adjusted"
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",93.64,"Episode_MFF_adjusted"
"RBN","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RCI(incl XBD)",95.71,"Episode_MFF_adjusted"
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",102.81,"Episode_MFF_adjusted"
"RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","RCI(incl XBD)",107.9,"Episode_MFF_adjusted"
"RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",93.31,"Episode_MFF_adjusted"
"RBV","THE CHRISTIE NHS FOUNDATION TRUST","RCI(incl XBD)",112.49,"Episode_MFF_adjusted"
"RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","RCI(incl XBD)",114.33,"Episode_MFF_adjusted"
"RC1","BEDFORD HOSPITAL NHS TRUST","RCI(incl XBD)",97.42,"Episode_MFF_adjusted"
"RC9","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",88.99,"Episode_MFF_adjusted"
"RCB","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",95.93,"Episode_MFF_adjusted"
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCI(incl XBD)",96.1,"Episode_MFF_adjusted"
"RCF","AIREDALE NHS FOUNDATION TRUST","RCI(incl XBD)",95.57,"Episode_MFF_adjusted"
"RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","RCI(incl XBD)",107.6,"Episode_MFF_adjusted"
"RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCI(incl XBD)",100.71,"Episode_MFF_adjusted"
"RD1","ROYAL UNITED HOSPITAL BATH NHS TRUST","RCI(incl XBD)",85.71,"Episode_MFF_adjusted"
"RD3","POOLE HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",92.1,"Episode_MFF_adjusted"
"RD8","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",102.84,"Episode_MFF_adjusted"
"RDD","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",99.43,"Episode_MFF_adjusted"
"RDE","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",102,"Episode_MFF_adjusted"
"RDR","SUSSEX COMMUNITY NHS TRUST","RCI(incl XBD)",95.85,"Episode_MFF_adjusted"
"RDU","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",98.8,"Episode_MFF_adjusted"
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",102.98,"Episode_MFF_adjusted"
"RDZ","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",88.76,"Episode_MFF_adjusted"
"RE9","SOUTH TYNESIDE NHS FOUNDATION TRUST","RCI(incl XBD)",106.18,"Episode_MFF_adjusted"
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST","RCI(incl XBD)",91.43,"Episode_MFF_adjusted"
"REM","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",99.3,"Episode_MFF_adjusted"
"REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","RCI(incl XBD)",85.51,"Episode_MFF_adjusted"
"REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","RCI(incl XBD)",96.27,"Episode_MFF_adjusted"
"RET","THE WALTON CENTRE NHS FOUNDATION TRUST","RCI(incl XBD)",110.05,"Episode_MFF_adjusted"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",100.98,"Episode_MFF_adjusted"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",100.19,"Episode_MFF_adjusted"
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST","RCI(incl XBD)",104.9,"Episode_MFF_adjusted"
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",96.69,"Episode_MFF_adjusted"
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",116.19,"Episode_MFF_adjusted"
"RGM","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",110.57,"Episode_MFF_adjusted"
"RGN","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",104.54,"Episode_MFF_adjusted"
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",97.79,"Episode_MFF_adjusted"
"RGQ","IPSWICH HOSPITAL NHS TRUST","RCI(incl XBD)",92.91,"Episode_MFF_adjusted"
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST","RCI(incl XBD)",85.41,"Episode_MFF_adjusted"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",104.33,"Episode_MFF_adjusted"
"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",114.16,"Episode_MFF_adjusted"
"RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RCI(incl XBD)",96.9,"Episode_MFF_adjusted"
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS TRUST","RCI(incl XBD)",103.16,"Episode_MFF_adjusted"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RCI(incl XBD)",94.24,"Episode_MFF_adjusted"
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",98.97,"Episode_MFF_adjusted"
"RHU","PORTSMOUTH HOSPITALS NHS TRUST","RCI(incl XBD)",95.99,"Episode_MFF_adjusted"
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RCI(incl XBD)",104.15,"Episode_MFF_adjusted"
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RCI(incl XBD)",111.19,"Episode_MFF_adjusted"
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","RCI(incl XBD)",102.76,"Episode_MFF_adjusted"
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","RCI(incl XBD)",105.89,"Episode_MFF_adjusted"
"RJ7","ST GEORGE'S HEALTHCARE NHS TRUST","RCI(incl XBD)",100.77,"Episode_MFF_adjusted"
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",112.21,"Episode_MFF_adjusted"
"RJC","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RCI(incl XBD)",97.05,"Episode_MFF_adjusted"
"RJE","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RCI(incl XBD)",105.34,"Episode_MFF_adjusted"
"RJF","BURTON HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",94.33,"Episode_MFF_adjusted"
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RCI(incl XBD)",103.18,"Episode_MFF_adjusted"
"RJN","EAST CHESHIRE NHS TRUST","RCI(incl XBD)",110.85,"Episode_MFF_adjusted"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",98.38,"Episode_MFF_adjusted"
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",111.26,"Episode_MFF_adjusted"
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",108.75,"Episode_MFF_adjusted"
"RK9","PLYMOUTH HOSPITALS NHS TRUST","RCI(incl XBD)",101.4,"Episode_MFF_adjusted"
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RCI(incl XBD)",100.38,"Episode_MFF_adjusted"
"RKE","THE WHITTINGTON HOSPITAL NHS TRUST","RCI(incl XBD)",108.04,"Episode_MFF_adjusted"
"RKL","WEST LONDON MENTAL HEALTH NHS TRUST","RCI(incl XBD)",94.65,"Episode_MFF_adjusted"
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",107.95,"Episode_MFF_adjusted"
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST","RCI(incl XBD)",95.25,"Episode_MFF_adjusted"
"RLN","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RCI(incl XBD)",98.57,"Episode_MFF_adjusted"
"RLQ","WYE VALLEY NHS TRUST","RCI(incl XBD)",107.64,"Episode_MFF_adjusted"
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST","RCI(incl XBD)",105.94,"Episode_MFF_adjusted"
"RLU","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RCI(incl XBD)",106.45,"Episode_MFF_adjusted"
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","RCI(incl XBD)",100.94,"Episode_MFF_adjusted"
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",91.01,"Episode_MFF_adjusted"
"RM2","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RCI(incl XBD)",98.32,"Episode_MFF_adjusted"
"RM3","SALFORD ROYAL NHS FOUNDATION TRUST","RCI(incl XBD)",101.16,"Episode_MFF_adjusted"
"RMC","BOLTON NHS FOUNDATION TRUST","RCI(incl XBD)",90.71,"Episode_MFF_adjusted"
"RMP","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",103.64,"Episode_MFF_adjusted"
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","RCI(incl XBD)",104.74,"Episode_MFF_adjusted"
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",92.75,"Episode_MFF_adjusted"
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",98.55,"Episode_MFF_adjusted"
"RN7","DARTFORD AND GRAVESHAM NHS TRUST","RCI(incl XBD)",95.49,"Episode_MFF_adjusted"
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST","RCI(incl XBD)",90.67,"Episode_MFF_adjusted"
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","RCI(incl XBD)",92.84,"Episode_MFF_adjusted"
"RNL","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",117.32,"Episode_MFF_adjusted"
"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",105.49,"Episode_MFF_adjusted"
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",98.97,"Episode_MFF_adjusted"
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RCI(incl XBD)",92.25,"Episode_MFF_adjusted"
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST","RCI(incl XBD)",94.05,"Episode_MFF_adjusted"
"RNZ","SALISBURY NHS FOUNDATION TRUST","RCI(incl XBD)",91.12,"Episode_MFF_adjusted"
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","RCI(incl XBD)",100.99,"Episode_MFF_adjusted"
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","RCI(incl XBD)",110.87,"Episode_MFF_adjusted"
"RP5","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",96.05,"Episode_MFF_adjusted"
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",104.53,"Episode_MFF_adjusted"
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",99.74,"Episode_MFF_adjusted"
"RPA","MEDWAY NHS FOUNDATION TRUST","RCI(incl XBD)",107.46,"Episode_MFF_adjusted"
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",94.86,"Episode_MFF_adjusted"
"RPG","OXLEAS NHS FOUNDATION TRUST","RCI(incl XBD)",86.49,"Episode_MFF_adjusted"
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RCI(incl XBD)",111.62,"Episode_MFF_adjusted"
"RQ3","BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",103.79,"Episode_MFF_adjusted"
"RQ6","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",102,"Episode_MFF_adjusted"
"RQ8","MID ESSEX HOSPITAL SERVICES NHS TRUST","RCI(incl XBD)",104.85,"Episode_MFF_adjusted"
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",93.29,"Episode_MFF_adjusted"
"RQQ","HINCHINGBROOKE HEALTH CARE NHS TRUST","RCI(incl XBD)",109.05,"Episode_MFF_adjusted"
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RCI(incl XBD)",99.19,"Episode_MFF_adjusted"
"RQX","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",89.68,"Episode_MFF_adjusted"
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","RCI(incl XBD)",105.97,"Episode_MFF_adjusted"
"RR1","HEART OF ENGLAND NHS FOUNDATION TRUST","RCI(incl XBD)",102.44,"Episode_MFF_adjusted"
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST","RCI(incl XBD)",100.64,"Episode_MFF_adjusted"
"RR8","LEEDS TEACHING HOSPITALS NHS TRUST","RCI(incl XBD)",100.74,"Episode_MFF_adjusted"
"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",99.66,"Episode_MFF_adjusted"
"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST","RCI(incl XBD)",91.52,"Episode_MFF_adjusted"
"RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RCI(incl XBD)",100.84,"Episode_MFF_adjusted"
"RRJ","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RCI(incl XBD)",114.8,"Episode_MFF_adjusted"
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RCI(incl XBD)",113.23,"Episode_MFF_adjusted"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","RCI(incl XBD)",94.43,"Episode_MFF_adjusted"
"RRU","LONDON AMBULANCE SERVICE NHS TRUST","RCI(incl XBD)",105.46,"Episode_MFF_adjusted"
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",109.96,"Episode_MFF_adjusted"
"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST","RCI(incl XBD)",103.27,"Episode_MFF_adjusted"
"RT2","PENNINE CARE NHS FOUNDATION TRUST","RCI(incl XBD)",80.25,"Episode_MFF_adjusted"
"RT3","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RCI(incl XBD)",116.06,"Episode_MFF_adjusted"
"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST","RCI(incl XBD)",93.49,"Episode_MFF_adjusted"
"RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",92.81,"Episode_MFF_adjusted"
"RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",88.39,"Episode_MFF_adjusted"
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RCI(incl XBD)",92.16,"Episode_MFF_adjusted"
"RTG","DERBY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",91.66,"Episode_MFF_adjusted"
"RTH","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",99.53,"Episode_MFF_adjusted"
"RTK","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",91.22,"Episode_MFF_adjusted"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RCI(incl XBD)",85.7,"Episode_MFF_adjusted"
"RTQ","2GETHER NHS FOUNDATION TRUST","RCI(incl XBD)",114,"Episode_MFF_adjusted"
"RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",95.57,"Episode_MFF_adjusted"
"RTV","5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",104.6,"Episode_MFF_adjusted"
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RCI(incl XBD)",107.24,"Episode_MFF_adjusted"
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST","RCI(incl XBD)",103.45,"Episode_MFF_adjusted"
"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST","RCI(incl XBD)",108.22,"Episode_MFF_adjusted"
"RV9","HUMBER NHS FOUNDATION TRUST","RCI(incl XBD)",102.5,"Episode_MFF_adjusted"
"RVJ","NORTH BRISTOL NHS TRUST","RCI(incl XBD)",108.44,"Episode_MFF_adjusted"
"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","RCI(incl XBD)",114.77,"Episode_MFF_adjusted"
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",97.19,"Episode_MFF_adjusted"
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",98.45,"Episode_MFF_adjusted"
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RCI(incl XBD)",98.27,"Episode_MFF_adjusted"
"RVY","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RCI(incl XBD)",105.34,"Episode_MFF_adjusted"
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST","RCI(incl XBD)",95.18,"Episode_MFF_adjusted"
"RW3","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",112.29,"Episode_MFF_adjusted"
"RW4","MERSEY CARE NHS TRUST","RCI(incl XBD)",86.05,"Episode_MFF_adjusted"
"RW5","LANCASHIRE CARE NHS FOUNDATION TRUST","RCI(incl XBD)",118.58,"Episode_MFF_adjusted"
"RW6","PENNINE ACUTE HOSPITALS NHS TRUST","RCI(incl XBD)",105.52,"Episode_MFF_adjusted"
"RWA","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RCI(incl XBD)",97.23,"Episode_MFF_adjusted"
"RWD","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RCI(incl XBD)",107.07,"Episode_MFF_adjusted"
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RCI(incl XBD)",94.08,"Episode_MFF_adjusted"
"RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RCI(incl XBD)",100.55,"Episode_MFF_adjusted"
"RWG","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RCI(incl XBD)",100.6,"Episode_MFF_adjusted"
"RWH","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RCI(incl XBD)",100.63,"Episode_MFF_adjusted"
"RWJ","STOCKPORT NHS FOUNDATION TRUST","RCI(incl XBD)",98.29,"Episode_MFF_adjusted"
"RWK","EAST LONDON NHS FOUNDATION TRUST","RCI(incl XBD)",96.88,"Episode_MFF_adjusted"
"RWN","SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",90.45,"Episode_MFF_adjusted"
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RCI(incl XBD)",107.43,"Episode_MFF_adjusted"
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","RCI(incl XBD)",100.73,"Episode_MFF_adjusted"
"RWV","DEVON PARTNERSHIP NHS TRUST","RCI(incl XBD)",110.24,"Episode_MFF_adjusted"
"RWW","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",97.42,"Episode_MFF_adjusted"
"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","RCI(incl XBD)",100.48,"Episode_MFF_adjusted"
"RWY","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RCI(incl XBD)",99.91,"Episode_MFF_adjusted"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",100.1,"Episode_MFF_adjusted"
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",99.75,"Episode_MFF_adjusted"
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST","RCI(incl XBD)",95.49,"Episode_MFF_adjusted"
"RX4","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST","RCI(incl XBD)",129.62,"Episode_MFF_adjusted"
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST","RCI(incl XBD)",89.23,"Episode_MFF_adjusted"
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST","RCI(incl XBD)",91.5,"Episode_MFF_adjusted"
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST","RCI(incl XBD)",106.13,"Episode_MFF_adjusted"
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST","RCI(incl XBD)",102.61,"Episode_MFF_adjusted"
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",92.57,"Episode_MFF_adjusted"
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST","RCI(incl XBD)",104.84,"Episode_MFF_adjusted"
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST","RCI(incl XBD)",99.26,"Episode_MFF_adjusted"
"RXF","MID YORKSHIRE HOSPITALS NHS TRUST","RCI(incl XBD)",100.17,"Episode_MFF_adjusted"
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",96.35,"Episode_MFF_adjusted"
"RXH","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RCI(incl XBD)",102.5,"Episode_MFF_adjusted"
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RCI(incl XBD)",97.84,"Episode_MFF_adjusted"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",99.67,"Episode_MFF_adjusted"
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST","RCI(incl XBD)",93.36,"Episode_MFF_adjusted"
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RCI(incl XBD)",97.51,"Episode_MFF_adjusted"
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RCI(incl XBD)",102.61,"Episode_MFF_adjusted"
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RCI(incl XBD)",96.39,"Episode_MFF_adjusted"
"RXR","EAST LANCASHIRE HOSPITALS NHS TRUST","RCI(incl XBD)",98.28,"Episode_MFF_adjusted"
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","RCI(incl XBD)",94.27,"Episode_MFF_adjusted"
"RXV","GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST","RCI(incl XBD)",99.28,"Episode_MFF_adjusted"
"RXW","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RCI(incl XBD)",89.07,"Episode_MFF_adjusted"
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST","RCI(incl XBD)",82.91,"Episode_MFF_adjusted"
